feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatibacter	visit	Week 48	-2.23396069272794	0.376922009528896	292	152	8.74907108353448e-09	1.30198640721714e-06
ASV_209	visit	Week 48	-0.642045837606211	0.111460673085408	292	50	2.14077223267854e-08	1.30198640721714e-06
F0058	visit	Week 48	0.80472552067025	0.139998965612048	292	73	2.28418667932832e-08	1.30198640721714e-06
ASV_205	visit	Week 48	-0.561814911147205	0.115552299850146	292	38	1.90750688431911e-06	8.15459193046421e-05
Lautropia	visit	Week 48	1.8074818672792	0.392266488980033	292	257	6.10373016552016e-06	0.000155759833232451
Streptobacillus	visit	Week 48	-1.01389178984719	0.220505486232475	292	80	6.37613352413543e-06	0.000155759833232451
Oribacterium	visit	Week 48	1.10579563883126	0.238327439491553	292	137	5.28601969851073e-06	0.000155759833232451
ASV_187	visit	Week 48	-0.471477455408889	0.104802291703065	292	28	9.90269197439787e-06	0.000211670040952754
Streptococcus	visit	Week 48	5.90476004767224	1.3306107435925	292	290	1.29347281861657e-05	0.000245759835537148
Alloprevotella	visit	Week 48	-2.75026494561615	0.640811530787183	292	136	2.41798626249039e-05	0.000413475650885857
Actinomyces	visit	Week 48	1.99032182887796	0.48048618868883	292	233	4.51477031486142e-05	0.000701841567128458
ASV_62	visit	Week 48	-0.891985933268764	0.222842970523574	292	102	7.95748841911514e-05	0.00113394209972391
ASV_157	visit	Week 48	-0.504200637226971	0.12904238055051	292	32	0.000116235660683981	0.00152894599822774
Atopobium	visit	Week 48	0.633183521944412	0.163078930256208	292	80	0.000127983983555876	0.00156323294200391
Moraxella	visit	Week 48	-1.20328108051652	0.314331515033643	292	77	0.000158257895771691	0.00180414001179727
Treponema	visit	Week 48	-1.63596441499855	0.442197765097885	292	5	0.000258275573141523	0.00276032018795003
Candidatus_Saccharimonas	visit	Week 48	0.553995317803788	0.154166340768928	292	77	0.000383226908578974	0.00385481184511792
Haemophilus	visit	Week 48	-2.3391269657653	0.697335415061301	292	287	0.000901290576379875	0.00816969741484582
Peptococcus	visit	Week 48	-0.287634020171991	0.0858013105534861	292	42	0.000907744157205091	0.00816969741484582
ASV_180	visit	Week 48	0.44047682510887	0.138619616027721	292	27	0.00164539405350158	0.0140681191574385
ASV_280	visit	Week 48	-0.2394321316276	0.077632006905708	292	10	0.00223778426188484	0.0182219575610622
ASV_383	visit	Week 48	-0.255532316943336	0.0838336863153597	292	16	0.00251534804717257	0.0195511143666595
Shuttleworthia	visit	Week 48	0.26336449012288	0.09319963806468	292	13	0.00504369439605535	0.037498771379368
TM7x	visit	Week 48	0.479929051977468	0.172550452613855	292	91	0.00576736908248297	0.038029083379684
Peptoanaerobacter	visit	Week 48	-0.213199118953132	0.0766757806179316	292	15	0.0057821998121157	0.038029083379684
Lentimicrobium	visit	Week 48	-0.200877070799189	0.0720498506520919	292	16	0.0056534564392384	0.038029083379684
ASV_331	visit	Week 48	0.293202100291287	0.106639914827795	292	36	0.00634417604206509	0.0401797815997456
ASV_540	visit	Week 48	0.188759287866919	0.0692342790276167	292	14	0.00679303999590562	0.0414860656892807
Veillonella	visit	Week 48	2.10311885834758	0.780164499443473	292	269	0.00743353151227575	0.0438322030551432
Neisseria	visit	Week 48	-3.11925087666861	1.17430838730135	292	257	0.00833898100555104	0.0475321917316409
Mogibacterium	visit	Week 48	0.342063343437262	0.130119075709177	292	66	0.00902413871273629	0.0497783135444486
ASV_461	visit	Week 48	-0.142659665890991	0.0548614381802623	292	10	0.00978970439702965	0.0523137328716272
Comamonas	visit	Week 48	-0.239431775706104	0.0926698816773489	292	21	0.0102638565991169	0.0531789360572191
Amnipila	visit	Week 48	-0.143752204345954	0.0558652855401295	292	10	0.010573589625412	0.0531789360572191
Gemella	visit	Week 48	0.321524280130163	0.126532075599542	292	285	0.0115731280204685	0.0565429969000033
ASV_682	visit	Week 48	0.0674676259238347	0.0271657516235665	292	5	0.0135728536066338	0.0644710546315105
ASV_1415	visit	Week 48	0.089629431966091	0.0375603322201701	292	5	0.0176612287213291	0.0816235165228993
Rothia	visit	Week 48	1.46074170751187	0.616710866065587	292	260	0.0185109709571905	0.0832993693073573
ASV_1054	visit	Week 48	0.100001675039388	0.0426213220427439	292	5	0.0196349277451993	0.0860916062674124
Psychrobacter	visit	Week 48	0.156433399926579	0.0676574281589074	292	5	0.0214704144918116	0.0917860219524947
ASV_77	visit	Week 48	0.543897921118906	0.238260463358425	292	140	0.0231666416151039	0.0966218467361649
