"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Treponema","trial_arm","Placebo",0.491629370884621,0.0697410901189835,1.22598322460793e-11,"trial_armPlacebo",2.08417148183347e-09,304,63
"2","Lautropia","trial_arm","Placebo",-0.643319883182998,0.0997904027223659,4.51912165814964e-10,"trial_armPlacebo",3.84125340942719e-08,304,257
"3","Moraxella","trial_arm","Placebo",0.702535173714965,0.120262972496776,1.33623966825901e-08,"trial_armPlacebo",7.57202478680108e-07,304,113
"4","F0058","trial_arm","Placebo",-0.339365946089194,0.064395939295052,2.60096741634405e-07,"trial_armPlacebo",1.10541115194622e-05,304,68
"5","Veillonella","trial_arm","Placebo",-0.44179869417396,0.0847456714697455,3.44815983648194e-07,"trial_armPlacebo",1.17237434440386e-05,304,290
"6","Rothia","trial_arm","Placebo",-0.429018509031591,0.0919958397671642,4.67532936667077e-06,"trial_armPlacebo",0.000125564853867103,304,265
"7","Aggregatibacter","trial_arm","Placebo",0.341001766112455,0.0734724708641217,5.17031751217483e-06,"trial_armPlacebo",0.000125564853867103,304,146
"8","Streptococcus","trial_arm","Placebo",-0.222823884738706,0.052770330292584,3.20079833300403e-05,"trial_armPlacebo",0.000680169645763357,304,302
"9","Oribacterium","trial_arm","Placebo",-0.330489069020987,0.0801180100580665,4.79746456682327e-05,"trial_armPlacebo",0.000906187751511063,304,151
"10","Capnocytophaga","trial_arm","Placebo",-0.283551819040791,0.0694308329631442,5.67655541366883e-05,"trial_armPlacebo",0.000965014420323702,304,95
"11","Granulicatella","trial_arm","Placebo",-0.274264325133209,0.0680034374820913,6.97787561900694e-05,"trial_armPlacebo",0.00107839895930107,304,282
"12","Streptobacillus","trial_arm","Placebo",0.301238335092535,0.079469228782698,0.000181418327158421,"trial_armPlacebo",0.00251147063278915,304,80
"13","Candidatus_Saccharimonas","trial_arm","Placebo",-0.221933394331462,0.058778177808229,0.000192053636625052,"trial_armPlacebo",0.00251147063278915,304,78
"14","ASV_205","trial_arm","Placebo",0.168214243345455,0.0465679301257465,0.000355408556250216,"trial_armPlacebo",0.00431567532589548,304,31
"15","Actinomyces","trial_arm","Placebo",-0.301099264700455,0.0846078915967025,0.000432572372930816,"trial_armPlacebo",0.00490248689321592,304,236
"16","Gemella","trial_arm","Placebo",-0.217542906896867,0.0617789893473755,0.000495695716438422,"trial_armPlacebo",0.00526676698715823,304,293
"17","Haemophilus","trial_arm","Placebo",0.190033213441515,0.0548404008378942,0.000606585600455513,"trial_armPlacebo",0.00606585600455513,304,302
"18","Defluviitaleaceae_UCG.011","trial_arm","Placebo",0.0691009161952351,0.0208809067733385,0.00104858620156551,"trial_armPlacebo",0.00990331412589646,304,12
"19","ASV_209","trial_arm","Placebo",0.12843433301546,0.0391191423833811,0.0011470481850489,"trial_armPlacebo",0.0102630627083322,304,30
"20","Atopobium","trial_arm","Placebo",-0.220289745478931,0.0699265192734412,0.00179447783763197,"trial_armPlacebo",0.0145267253522588,304,88
"21","Peptoanaerobacter","trial_arm","Placebo",0.0563980610219046,0.0178485839584259,0.00173879892530517,"trial_armPlacebo",0.0145267253522588,304,13
"22","Prevotella","trial_arm","Placebo",-0.268227673857849,0.0874222329560706,0.00234888085593229,"trial_armPlacebo",0.0181504429776586,304,290
"23","Peptococcus","trial_arm","Placebo",0.102950232647159,0.0340121857175734,0.00268391671611812,"trial_armPlacebo",0.019837645293047,304,41
"24","Abiotrophia","trial_arm","Placebo",-0.20609043213995,0.0692794427328058,0.00316870157222902,"trial_armPlacebo",0.0224449694699555,304,76
"25","Filifactor","trial_arm","Placebo",0.088944720644025,0.0310036702847813,0.00441015243467415,"trial_armPlacebo",0.0299890365557842,304,17
"26","Oceanivirga","trial_arm","Placebo",0.143243204683311,0.0517681407279442,0.00600618706216375,"trial_armPlacebo",0.039271223098763,304,23
"27","Amnipila","trial_arm","Placebo",0.0570892752518199,0.0208744170303614,0.00660884883248253,"trial_armPlacebo",0.0416112704267418,304,10
